time,roll,pitch,altitude,vibration_z,label
16.16,0.0414821366796971,0.0050307811537722,2.02302638288865,-0.000349213490845,SAFE
16.168,0.0414619404922769,0.0050458280921685,2.0232163032228043,-0.0004655529785927,SAFE
16.176000000000002,0.0414332511674048,0.0050596306645789,2.023403400810502,-0.000550268070549,SAFE
16.184,0.0413991809007862,0.0050720813988066,2.0235876848727226,-0.0006030105823375,SAFE
16.192,0.0413626795855597,0.0050830930255178,2.023769163882173,-0.0006254555520331,SAFE
16.2,0.0413263789842131,0.0050925996752376,2.023947845611755,-0.0006208772072639,SAFE
16.208000000000002,0.0412924811835043,0.0051005574677508,2.024123737167704,-0.0005936942986781,SAFE
16.216,0.0412626911742845,0.0051069444936882,2.024296845014158,-0.0005490165021144,SAFE
16.224,0.0412381907150768,0.0051117602597037,2.024467174989336,-0.0004922209261215,SAFE
16.232,0.0412196485390317,0.0051150246521349,2.024634732319427,-0.0004285789032763,SAFE
16.240000000000002,0.041207260523341,0.0051167764924927,2.024799521635615,-0.0003629484247837,SAFE
16.248,0.0412008125899189,0.0051170717911309,2.0249615469935143,-0.0002995410323717,SAFE
16.256,0.0411997588720845,0.0051159817719808,2.025120811900348,-0.0002417652387189,SAFE
16.264,0.0412033079081135,0.0051135907644628,2.025277319348938,-0.0001921442548612,SAFE
16.272000000000002,0.0412105102936019,0.0051099940252909,2.025431071862323,-0.0001523010032102,SAFE
16.28,0.0412203421571779,0.0051052955777537,2.025582071545327,-0.0001230011405738,SAFE
16.288,0.0412317799920442,0.0050996061179902,2.025730320144412,-0.0001042419828718,SAFE
16.296,0.0412438636028217,0.0050930410213255,2.0258758191168926,-9.537413459969856e-05,SAFE
16.304000000000002,0.0412557451809548,0.0050857185057177,2.0260185697044206,-9.524429823482862e-05,SAFE
16.312,0.0412667236829594,0.0050777579533647,2.026158573012664,-0.0001023458336424,SAFE
16.32,0.0412762647298807,0.0050692784173632,2.0262958300930283,-0.0001149676962711,SAFE
16.328,0.0412840070940584,0.0050603972949144,2.026430342027988,-0.0001313317194421,SAFE
16.336000000000002,0.0412897575033419,0.0050512291853491,2.026562110014244,-0.0001497129471665,SAFE
16.344,0.0412934759288952,0.00504188490902,2.026691135443843,-0.0001685372040992,SAFE
16.352,0.0412952537781944,0.0050324706648557,2.0268174199832365,-0.0001864538880865,SAFE
16.36,0.0412952874499727,0.0050230873288747,2.026940965645014,-0.0002023837405895,SAFE
16.368000000000002,0.0412938496226296,0.0050138298611007,2.027061774854133,-0.0002155421624822,SAFE
16.376,0.0412912603935914,0.0050047868159913,2.0271798505053207,-0.0002254407995851,SAFE
16.384,0.0412878600782942,0.0049960399269742,2.0272951960140304,-0.0002318704432741,SAFE
16.392,0.0412839850699429,0.0049876637726305,2.027407815356824,-0.0002348697288446,SAFE
16.4,0.0412799477684073,0.0049797255080213,2.027517713102756,-0.0002346835412113,SAFE
16.408,0.0412760211632536,0.0049722846430604,2.027624894437819,-0.0002317148660913,SAFE
16.416,0.0412724282855293,0.0049653928885998,2.027729365178813,-0.0002264752261046,SAFE
16.424,0.0412693364017352,0.0049590940487145,2.0278311317805127,-0.0002195356864981,SAFE
16.432,0.0412668555603969,0.004953423975807,2.0279302013341995,-0.0002114824706969,SAFE
16.44,0.0412650408868769,0.0049484105699791,2.0280265815615994,-0.0002028780562394,SAFE
16.448,0.0412638978948216,0.0049440738487958,2.028120280801001,-0.0001942305790893,SAFE
16.456,0.0412633900042707,0.004940426076824,2.0282113079882387,-0.000185971015979,SAFE
